name,ilosc_patentow
GRZYWA EDWARD,22
KEDZIOR JOZEF,22
BARBASIEWICZ MICHAL,16
SZARZYNSKI KRZYSZTOF,14
GORZEL MARCIN,14
VOGE BOZENA,84
KACPRZAK MICHAL,20
SOBCZAK JERZY,18
WILINSKI PIOTR,89
RADECKI ANDRZEJ,39
MARCJAN CEZARY,109
APPELHANS DIETMAR,31
KILOS BEATA,51
FULCZYK MAREK,58
SOWINSKI KRZYSZTOF,90
FLACHT PIOTR,24
KOWALSKI WALDEMAR,76
NOUSIAINEN PERTTI,78
DABROWSKI BARTOSZ,29
GRUSZECKI ARTUR,45
WOJCIK ZBIGNIEW,22
IANELLI ZBIGNIEW,90
SIKORA LESZEK,121
KANIA PIOTR,56
MARCINEK ANDRZEJ,27
MOSKAL PAWEL,50
COFTA PIOTR,87
WOJCIECHOWSKI ROBERT,17
ZIELINSKA BARBARA,26
GRZYB JANUSZ,29
PETERS NORBERT,78
SIKORA MARCIN,45
PASTUSIAK REMIGIUSZ,52
BIALEK EDYTA,60
MALEWICZ ANDRZEJ,79
DARZYNKIEWICZ EDWARD,24
WILLRICH PETER,77
